experiment,preprocessing,model,epoch,training_samples,validation_samples,train_loss,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
E6-B,clahe,Multi-modal DenseNet-121,1,43020,9446,1.299370829901229,0.4672877408426847,0.034542647626399074,0.8605769230769231,0.8605769230769231,0.45843256116042436,0.06641929499072356,0.7284824803903609,0.053699401707882344,4235,5003,29,179
E6-B,clahe,Multi-modal DenseNet-121,2,43020,9446,1.1675129147345535,0.8060554732161762,0.06437768240343347,0.5769230769230769,0.5769230769230769,0.8112145486035939,0.11583011583011583,0.7679890335903542,0.07202071375208575,7494,1744,88,120
E6-B,clahe,Multi-modal DenseNet-121,3,43020,9446,1.1157079775367098,0.7504763921236502,0.05981155264235969,0.7019230769230769,0.7019230769230769,0.7515696038103485,0.11023027557568894,0.7846155927856513,0.07384427012972136,6943,2295,62,146
