metric,E1_image_only,E2_multimodal,absolute_change,change_percentage_points
Accuracy,0.909822003002359,0.9238687540210164,0.014046751018657377,1.4046751018657377
Precision,0.0982961992136304,0.1112903225806451,0.012994123367014693,1.2994123367014692
Recall / Sensitivity,0.3289473684210526,0.3026315789473684,-0.02631578947368418,-2.631578947368418
Specificity,0.924378984392174,0.9394372389536162,0.015058254561442164,1.5058254561442164
F1-score,0.1513622603430877,0.1627358490566037,0.011373588713516014,1.1373588713516014
ROC-AUC,0.7775253284893923,0.7815290038682109,0.0040036753788186275,0.40036753788186275
PR-AUC,0.0862487409154025,0.0857975828326758,-0.00045115808272669367,-0.04511580827266937
