category,image_id,heatmap_path,mean_activation,min_activation,max_activation,active_pixels_25_percent,active_pixels_50_percent,active_pixels_75_percent,max_activation_x,max_activation_y,central_mean_activation,central_activation_ratio
TP,00020408_014,outputs\explanations\00020408_014_gradcam.npy,0.4036835730075836,0.0,1.0,63.26530612244898,38.775510204081634,14.285714285714285,0.14285714285714285,0.5714285714285714,0.6087135672569275,0.3769744634628296
TN,00009641_000,outputs\explanations\00009641_000_gradcam.npy,0.020408162847161293,0.0,1.0,2.0408163265306123,2.0408163265306123,2.0408163265306123,0.8571428571428571,0.8571428571428571,0.0,0.0
FP,00027427_004,outputs\explanations\00027427_004_gradcam.npy,0.32280972599983215,0.018098143860697746,1.0,51.02040816326531,22.448979591836736,8.16326530612245,0.2857142857142857,0.5714285714285714,0.5293227434158325,0.40993401408195496
FN,00003535_025,outputs\explanations\00003535_025_gradcam.npy,0.1369265764951706,0.0,1.0,22.448979591836736,16.3265306122449,4.081632653061225,0.8571428571428571,0.14285714285714285,0.0020296277943998575,0.0037056864239275455
