experiment,model,epoch,training_samples,validation_samples,train_loss,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
E2,Multi-modal DenseNet-121,1,43020,9446,1.2962741060144354,0.44240948549650644,0.03252633524302347,0.8461538461538461,0.8461538461538461,0.43331890019484737,0.06264459868303969,0.7300104501473845,0.05592078440808912,4003,5235,32,176
E2,Multi-modal DenseNet-121,2,43020,9446,1.1878113936384889,0.7799068388735972,0.06589327146171693,0.6826923076923077,0.6826923076923077,0.782095691708162,0.12018620397799408,0.797458136959382,0.07916278924420851,7225,2013,66,142
E2,Multi-modal DenseNet-121,3,43020,9446,1.1198824315587133,0.7534406097819183,0.06375976964212259,0.7451923076923077,0.7451923076923077,0.7536263260445984,0.11746873815839333,0.7982179584325613,0.07893695684212629,6962,2276,53,155
E2,Multi-modal DenseNet-121,4,43020,9446,1.1158368400633667,0.6033241583739148,0.04264667872835358,0.7932692307692307,0.7932692307692307,0.5990474128599264,0.08094186902133922,0.7851084358918847,0.07696334149292522,5534,3704,43,165
E2,Multi-modal DenseNet-121,5,43020,9446,1.1021541087943942,0.6054414567012492,0.04405286343612335,0.8173076923076923,0.8173076923076923,0.6006711409395973,0.08359970494221786,0.7777647093110396,0.06712796818938022,5549,3689,38,170
