experiment,preprocessing,model,epoch,training_samples,validation_samples,train_loss,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
E6-A,baseline,Multi-modal DenseNet-121,1,43020,9446,1.2962741060144354,0.44240948549650644,0.03252633524302347,0.8461538461538461,0.8461538461538461,0.43331890019484737,0.06264459868303969,0.7300104501473845,0.05592078440808912,4003,5235,32,176
E6-A,baseline,Multi-modal DenseNet-121,2,43020,9446,1.1878113936384889,0.7799068388735972,0.06589327146171693,0.6826923076923077,0.6826923076923077,0.782095691708162,0.12018620397799408,0.797458136959382,0.07916278924420851,7225,2013,66,142
E6-A,baseline,Multi-modal DenseNet-121,3,43020,9446,1.1198824315587133,0.7534406097819183,0.06375976964212259,0.7451923076923077,0.7451923076923077,0.7536263260445984,0.11746873815839333,0.7982179584325613,0.07893695684212629,6962,2276,53,155
E6-B,clahe,Multi-modal DenseNet-121,1,43020,9446,1.299370829901229,0.4672877408426847,0.034542647626399074,0.8605769230769231,0.8605769230769231,0.45843256116042436,0.06641929499072356,0.7284824803903609,0.053699401707882344,4235,5003,29,179
E6-B,clahe,Multi-modal DenseNet-121,2,43020,9446,1.1675129147345535,0.8060554732161762,0.06437768240343347,0.5769230769230769,0.5769230769230769,0.8112145486035939,0.11583011583011583,0.7679890335903542,0.07202071375208575,7494,1744,88,120
E6-B,clahe,Multi-modal DenseNet-121,3,43020,9446,1.1157079775367098,0.7504763921236502,0.05981155264235969,0.7019230769230769,0.7019230769230769,0.7515696038103485,0.11023027557568894,0.7846155927856513,0.07384427012972136,6943,2295,62,146
