n,threshold,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_n,negative_n,positive_rate,experiment,analysis,subgroup
9326,0.75,0.9238687540210165,0.11129032258064517,0.3026315789473684,0.3026315789473684,0.9394372389536162,0.16273584905660377,0.7815290038682109,0.08579758283267587,8547,551,159,69,228,9098,0.024447780398884837,E5,overall,all_test_patients
3205,0.75,0.9332293291731669,0.1366120218579235,0.30864197530864196,0.30864197530864196,0.9494238156209988,0.1893939393939394,0.7967981852958378,0.10010628425450206,2966,158,56,25,81,3124,0.02527301092043682,E5,subgroup,age_<40
4071,0.75,0.9167280766396463,0.10679611650485436,0.34375,0.34375,0.930566037735849,0.16296296296296298,0.7721540880503146,0.08108580860504576,3699,276,63,33,96,3975,0.023581429624170966,E5,subgroup,age_40-59
2050,0.75,0.9234146341463415,0.0859375,0.21568627450980393,0.21568627450980393,0.9414707353676839,0.12290502793296089,0.7818909454727365,0.09383411462043416,1882,117,40,11,51,1999,0.024878048780487806,E5,subgroup,age_60+
4072,0.75,0.9196954813359528,0.0931899641577061,0.26,0.26,0.9363041289023162,0.13720316622691292,0.8034214501510574,0.086482797098545,3719,253,74,26,100,3972,0.02455795677799607,E5,subgroup,sex_female
5254,0.75,0.9271031594975256,0.12609970674486803,0.3359375,0.3359375,0.9418650019508389,0.18336886993603413,0.7641908286188062,0.08663076397367044,4828,298,85,43,128,5126,0.02436239055957366,E5,subgroup,sex_male
5969,0.75,0.9648182275087954,0.11888111888111888,0.16831683168316833,0.16831683168316833,0.9785276073619632,0.13934426229508196,0.7123482286878996,0.07214266312511697,5742,126,84,17,101,5868,0.016920757245769812,E5,subgroup,view_PA
3357,0.75,0.851057491808162,0.1090146750524109,0.4094488188976378,0.4094488188976378,0.868421052631579,0.17218543046357615,0.7883913117671436,0.0979338744354316,2805,425,75,52,127,3230,0.03783139708072684,E5,subgroup,view_AP
