experiment,model,epoch,training_samples,validation_samples,train_loss,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
E1,Image-only DenseNet-121,1,43020,9446,1.2953931325073356,0.26053355917848825,0.027603513174404015,0.9519230769230769,0.9519230769230769,0.24496644295302014,0.05365126676602087,0.7340898067347246,0.05664772016262404,2263,6975,10,198
E1,Image-only DenseNet-121,2,43020,9446,1.181334642705176,0.6792293034088503,0.04891304347826087,0.7355769230769231,0.7355769230769231,0.6779605975319333,0.09172661870503597,0.7751901635385614,0.07810108029907327,6263,2975,55,153
E1,Image-only DenseNet-121,3,43020,9446,1.1367333862873736,0.7938810078340038,0.06546726636681659,0.6298076923076923,0.6298076923076923,0.797575232734358,0.11860570393843368,0.7737506661448531,0.07356791052927986,7368,1870,77,131
E1,Image-only DenseNet-121,4,43020,9446,1.0980059867811363,0.5476392123650222,0.04005431093007468,0.8509615384615384,0.8509615384615384,0.5408096990690626,0.07650745623514156,0.7801597082285543,0.07867065469925344,4996,4242,31,177
E1,Image-only DenseNet-121,5,43020,9446,1.0923034192938128,0.5299597713317806,0.038394415357766144,0.8461538461538461,0.8461538461538461,0.5228404416540376,0.07345575959933222,0.7871344530118074,0.08949322368712234,4830,4408,32,176
